0,0,0.9119,0.45595,5.135880927,0,0.05609799,0.326845592,0,,
0,0,0.45595,0.9119,0,5.135880927,0.05609799,0.326845592,0,,
0.9119,0.45595,0,0,0.456903988,0.456903988,0,0.226046852,0,,
0.45595,0.9119,0,0,0.456903988,0.456903988,0,0.226046852,0,,
5.135880927,0,0.456903988,0.456903988,0,0,1.82149992,0.67968,0,,
0,5.135880927,0.456903988,0.456903988,0,0,1.82149992,0.67968,0,,
0.05609799,0.05609799,0,0,1.82149992,1.82149992,0,0,0,,
0.326845592,0.326845592,0.226046852,0.226046852,0.67968,0.67968,0,0,0,,
0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,
,,,,,,,,,,
